data,af_revenue,adapter,country,af_id
2021-08-23,0.040422,UnityAdapter,US,1629571915029-8587254804182532970
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.002966,AdMobAdapter,PH,1629289516211-5397552880122387745
2021-08-23,0.040422,UnityAdapter,US,1628184534182-7588024334533898667
2021-08-22,0.018,ApplovinAdapter,US,1629571915029-8587254804182532970
2021-08-22,0.014229,UnityAdapter,US,1629571915029-8587254804182532970
2021-08-22,0.018,AdMobAdapter,US,1629571915029-8587254804182532970
2021-08-22,0.018,ApplovinAdapter,US,1629571915029-8587254804182532970
2021-08-22,0.019,AdMobAdapter,US,1629571915029-8587254804182532970
2021-08-22,0.036,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.026,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.027,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.035,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.018,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.023,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,AdMobAdapter,MX,1617664224216-1224675917110999900
2021-08-22,0.02,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.022,AdMobAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.026,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.026,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.035,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.025,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.03,AdMobAdapter,US,1629590264351-859935814290721809
2021-08-22,0.035,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.033,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.042,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.05,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.042,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.042,FacebookMediationAdapter,US,1629590264351-859935814290721809
2021-08-22,0.040422,UnityAdapter,US,1629662039752-8642350038760595713
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.051,AdMobAdapter,US,1629665216865-8466318448395786021
2021-08-22,0.019,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.02,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.043,AdMobAdapter,US,1629665216865-8466318448395786021
2021-08-22,0.017,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.018,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.028,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.023,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.029,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.035,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.029,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.026,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.024,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.026,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.017,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.017,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.018,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.022,AdMobAdapter,DE,1629664107409-3523001017783590351
2021-08-22,0.029,AdMobAdapter,DE,1629664107409-3523001017783590351
